<TICKER>,<DATE>,<CLOSE>
TATN,30/04/09,100.57
TATN,01/05/09,100.18
TATN,05/05/09,104.79
TATN,06/05/09,104.8
TATN,07/05/09,108.14
TATN,08/05/09,118.05
TATN,09/05/09,119.02
TATN,13/05/09,128.0
TATN,14/05/09,123.1
TATN,15/05/09,122.0
TATN,16/05/09,123.95
TATN,19/05/09,122.25
TATN,20/05/09,126.2
TATN,21/05/09,135.94
TATN,22/05/09,128.0
TATN,23/05/09,126.5
TATN,26/05/09,126.0
TATN,27/05/09,125.44
TATN,28/05/09,129.5
TATN,29/05/09,129.0
TATN,30/05/09,146.9
TATN,02/06/09,151.85
TATN,03/06/09,146.6
TATN,04/06/09,130.3
TATN,05/06/09,129.79
TATN,06/06/09,129.5
TATN,09/06/09,126.85
TATN,10/06/09,122.0
TATN,11/06/09,127.5
TATN,12/06/09,126.95
TATN,16/06/09,121.36
TATN,17/06/09,120.15
TATN,18/06/09,114.9
TATN,19/06/09,107.99
TATN,20/06/09,105.37
TATN,23/06/09,100.97
TATN,24/06/09,100.6
TATN,25/06/09,112.0
TATN,26/06/09,111.3
TATN,27/06/09,112.55
TATN,30/06/09,121.07
TATN,01/07/09,126.5
TATN,02/07/09,127.51
TATN,03/07/09,121.83
TATN,04/07/09,118.0
TATN,07/07/09,108.89
TATN,08/07/09,107.01
TATN,09/07/09,102.45
TATN,10/07/09,99.99
TATN,11/07/09,96.3
TATN,14/07/09,97.25
TATN,15/07/09,98.38
TATN,16/07/09,103.85
TATN,17/07/09,103.99
TATN,18/07/09,107.8
TATN,21/07/09,107.85
TATN,22/07/09,109.79
TATN,23/07/09,105.22
TATN,24/07/09,112.45
TATN,25/07/09,111.9
TATN,28/07/09,117.07
TATN,29/07/09,115.15
TATN,30/07/09,113.3
TATN,31/07/09,124.99
TATN,01/08/09,128.47
TATN,04/08/09,130.5
TATN,05/08/09,127.99
TATN,06/08/09,124.0
TATN,07/08/09,125.3
TATN,08/08/09,126.79
TATN,11/08/09,125.99
TATN,12/08/09,121.01
TATN,13/08/09,121.7
TATN,14/08/09,121.55
TATN,15/08/09,117.46
TATN,18/08/09,114.51
TATN,19/08/09,114.2
TATN,20/08/09,115.5
TATN,21/08/09,119.97
TATN,22/08/09,125.89
TATN,25/08/09,133.51
TATN,26/08/09,130.4
TATN,27/08/09,126.05
TATN,28/08/09,122.52
TATN,29/08/09,129.02
TATN,01/09/09,126.59
TATN,02/09/09,126.28
TATN,03/09/09,120.53
TATN,04/09/09,120.45
TATN,05/09/09,120.21
TATN,08/09/09,123.14
TATN,09/09/09,128.91
